,Store,cluster,cluster_labeling
144,웰빙쌀빵신당역점,0,평범해요~
145,위고에빅토르,0,평범해요~
146,융태행제과점,0,평범해요~
147,을지로앵초,0,평범해요~
148,을지샌드,2,가성비 맛집이에요!
149,을지점빵,0,평범해요~
150,이지바이충정로점,1,빵이 맛있어요!
151,인잇,0,평범해요~
152,잇츠크리스피,0,평범해요~
153,잇츠크리스피을지로점,0,평범해요~
154,자미당약수점,1,빵이 맛있어요!
155,정동커피,0,평범해요~
156,제이델링서울중구점,0,평범해요~
157,조선델리,0,평범해요~
158,조선델리웨스틴조선서울,0,평범해요~
159,짜드라,0,평범해요~
160,청킴제과,0,평범해요~
161,카페드리옹장충점,2,가성비 맛집이에요!
162,카페오랑쥬,0,평범해요~
163,카페오브,0,평범해요~
164,카페유파이브,0,평범해요~
165,카페피크닉,0,평범해요~
166,커피니약수역점,0,평범해요~
167,커피앤시가렛,0,평범해요~
168,커피한약방,0,평범해요~
169,콘웨이커피,1,빵이 맛있어요!
170,콜렉티보을지로파인에비뉴점,0,평범해요~
171,콜렉티보퍼시픽타워점,0,평범해요~
172,퀸즈베이커리,0,평범해요~
173,크림시크,0,평범해요~
174,탄드르,1,빵이 맛있어요!
175,태극당,0,평범해요~
176,태극당서울역광장점,0,평범해요~
177,터틀힙롯데백화점본점,0,평범해요~
178,테라로사청계광장점,0,평범해요~
179,트웰브남산점,0,평범해요~
180,티라레미수명동눈스퀘어점,0,평범해요~
181,팀홀튼숭례문그랜드센트럴점,0,평범해요~
182,파르투내푸드,0,평범해요~
183,파오리,0,평범해요~
184,파티세리몽슈슈신세계백화점본점B1F,0,평범해요~
185,파티쉐리신세계백화점본점신관점,0,평범해요~
186,포비을지로점,0,평범해요~
187,폴어반,1,빵이 맛있어요!
188,퐁네프과자점,1,빵이 맛있어요!
189,프로스콘스서울,0,평범해요~
190,플라세르,3,풍경과 분위기가 좋아요!
191,플랫슬리퍼,0,평범해요~
192,플레이키,1,빵이 맛있어요!
193,피그먼츠,1,빵이 맛있어요!
194,피앤비풍년제과롯데백화점본점,0,평범해요~
195,하우스커피앤디저트,0,평범해요~
196,하이드미플리즈을지로,0,평범해요~
197,한나식빵황학동롯데캐슬점,1,빵이 맛있어요!
198,해운대달맞이빵,1,빵이 맛있어요!
199,해피베어데이롯데백화점본점,0,평범해요~
200,해피해피브레드,1,빵이 맛있어요!
201,현미,4,다소 비싸지만 값어치해요!
202,혜민당,0,평범해요~
203,홍밀밀,0,평범해요~
204,화미가신세계백화점본점,1,빵이 맛있어요!
205,화수분,0,평범해요~
206,화수분약수본점,0,평범해요~
207,황소쿠키,0,평범해요~
